income,loan_amount,credit_score,employment_years,existing_debt,loan_term,loan_status
128150,73916,653,3,49053,36,1
97267,13711,849,11,14334,24,1
73136,79318,441,18,29179,36,0
48625,35707,800,28,6644,36,1
107873,44110,846,26,35618,48,1
125843,66788,841,28,47701,12,1
97592,43827,806,1,32933,24,1
102052,10655,580,16,43469,48,0
69261,49859,723,10,33687,12,1
26542,58625,569,10,41073,36,0
46677,57098,453,20,17375,36,0
71732,20251,382,15,48483,48,0
75343,5526,725,1,30926,36,1
64081,73760,574,1,36607,60,0
87856,52837,583,22,17642,48,0
118105,16536,472,7,23993,12,0
113858,33541,626,12,44386,48,1
44065,56027,362,9,46287,24,0
149097,39531,372,7,21188,48,0
108460,13712,674,29,32596,36,1
113092,70455,807,3,27772,36,1
79693,79744,697,14,30857,60,0
51962,10109,419,29,10776,60,0
53295,54268,736,0,32835,60,0
38807,59615,764,10,9788,12,0
67348,34759,585,6,5660,60,0
51432,65112,564,16,4478,12,0
108285,31589,619,26,8210,60,1
131995,35015,675,19,10922,12,1
116792,34009,388,23,36289,48,0
82854,67046,502,17,33340,48,0
65262,31143,633,21,39850,36,0
62080,11154,521,28,38163,12,0
26324,26804,340,21,48175,24,0
116267,46688,367,11,18642,36,0
149707,69288,813,8,11094,48,1
60909,56195,426,4,22423,12,0
114339,25581,554,9,33418,60,0
44870,57648,315,3,5741,24,0
59578,35087,776,4,46049,48,0
97124,54930,361,27,6838,36,0
142611,37981,731,27,3262,12,1
128605,74298,567,9,4996,24,0
51790,51167,334,30,44594,12,0
143874,48408,793,10,22164,60,1
50289,44499,768,20,35595,36,0
80129,57269,624,23,30257,12,1
118714,43559,603,9,14211,48,1
119246,79319,575,27,30453,36,0
40485,53787,500,7,5232,48,0
69482,40488,744,1,2217,12,1
111188,79441,623,22,24229,36,1
29748,79663,334,7,14232,48,0
111769,27431,781,15,25613,60,1
34435,66681,779,26,14026,60,0
28709,68483,364,21,28554,12,0
148961,54153,307,4,30908,36,0
55355,11368,600,26,19610,24,1
80771,32424,642,24,46646,36,0
82799,50004,730,28,39605,60,1
38116,61985,723,2,7031,48,0
50470,55069,631,11,47574,24,0
67344,57326,737,12,25515,12,0
67918,28398,473,12,36484,24,0
77224,55861,826,9,36182,12,1
64298,73577,325,3,570,24,0
133492,70641,705,8,32254,12,1
105219,14078,531,21,19288,12,0
86629,30003,832,23,13288,24,1
91040,67768,849,22,29877,24,1
124518,56047,804,26,18889,12,1
124835,76626,478,1,917,60,0
53016,62660,431,18,10066,24,0
48960,54786,754,0,29504,36,0
58591,6925,647,24,6982,48,1
107848,31015,839,28,39104,12,1
128333,38320,705,6,18062,12,1
136732,69881,375,16,16999,48,0
139821,31289,791,2,9941,60,1
92641,8389,493,19,23470,48,0
61395,30683,461,19,45148,24,0
136276,18629,646,20,21133,48,1
47700,66550,660,29,44435,12,0
59620,29826,386,2,4529,48,0
128214,31630,561,2,17519,36,0
45559,51163,513,16,12192,24,0
118045,71435,561,6,8566,48,0
118396,16653,582,26,7226,12,0
86642,32961,766,25,37930,24,1
101539,79137,679,13,49358,12,0
46732,38662,661,16,21259,60,0
116362,61446,748,17,34087,36,1
55354,26288,740,12,1141,60,1
38843,41877,392,19,4627,36,0
135008,20313,723,28,47269,48,1
139065,77715,441,19,2690,24,0
96726,15326,590,20,40091,48,0
42640,6560,731,26,3255,36,1
77528,31745,348,17,5213,36,0
63413,36890,601,3,36876,36,0
77638,25022,489,0,19404,12,0
77736,57579,435,17,25380,24,0
132892,75316,703,0,25520,48,0
135133,33380,640,25,19173,48,1
131357,7356,617,25,23989,60,1
93866,75326,662,12,42570,36,0
44087,25049,681,19,24519,36,0
66430,21082,532,19,22439,36,0
49504,5661,643,22,11413,48,1
32114,42412,848,9,14995,60,0
103859,7920,828,26,23559,12,1
124657,65315,482,10,45351,24,0
35975,13946,340,8,23513,12,0
36023,50500,850,8,5021,48,0
46447,21309,696,4,32464,36,0
115469,60230,793,25,21119,24,1
48959,35027,632,0,29299,48,0
91203,77541,426,16,39350,48,0
144156,64321,300,21,46223,48,0
54703,5956,467,1,25517,24,0
34337,79131,318,23,13117,24,0
71427,52908,631,12,22250,60,1
146507,30963,755,8,18950,60,1
86529,44443,408,28,17359,12,0
127023,44063,567,3,23596,24,0
109665,9703,744,4,25530,24,1
130787,70128,539,10,1262,24,0
56921,77099,600,23,40150,60,0
58307,30849,402,18,22615,48,0
52355,36860,549,20,3327,36,0
128268,36585,752,2,29768,60,1
29835,27015,819,11,28850,24,0
45159,48585,452,25,42788,60,0
129346,31958,473,18,16848,12,0
72605,31017,642,18,46830,24,0
146790,50350,730,12,39542,12,1
130616,17201,623,27,15160,24,1
63088,34426,719,6,33998,60,0
103752,22778,784,14,27230,48,1
80284,50241,711,22,9076,36,1
82043,47229,383,6,3805,12,0
60547,53364,412,25,31085,60,0
122007,62056,631,7,14715,48,1
107844,32490,677,4,5750,60,1
52532,24975,340,20,48395,12,0
59349,31723,404,13,13232,36,0
147402,28279,501,3,35903,60,0
143012,16561,749,22,6953,24,1
70445,71061,565,9,32093,48,0
30713,54153,509,19,25500,60,0
81178,38142,417,14,22418,48,0
74407,31916,676,17,34314,24,1
95340,69324,850,19,48225,36,0
75990,49965,839,12,22449,36,1
100672,9648,383,28,17478,24,0
90545,40133,753,7,35179,48,1
109791,55677,813,8,46881,60,1
83141,75135,686,15,25338,24,0
48793,40046,649,18,26899,12,0
81570,52064,595,15,4145,48,0
120084,74350,557,6,32101,36,0
62892,50893,380,13,2775,24,0
26015,66272,567,27,45961,36,0
149704,72649,718,13,31647,48,1
86813,69674,534,24,45619,36,0
52712,18760,610,26,45838,24,0
125497,26927,656,3,19539,48,1
33415,66367,512,25,36738,12,0
136854,17588,348,14,26616,24,0
137816,57233,426,2,14119,60,0
87292,49738,522,4,25159,24,0
48833,38397,578,0,37099,48,0
29158,76260,707,2,10295,24,0
87680,24816,804,14,34710,12,1
45309,47240,593,23,24685,12,0
31970,11276,576,26,49343,60,0
97474,28499,737,7,25479,36,1
111704,76635,406,30,46172,48,0
71540,40946,719,28,33629,48,1
45384,60204,728,3,42043,36,0
